User,Events,Usage
3798708300,254046741,PublicTest
3804368962,2415873572,PublicTest
3825327054,1657604679,PublicTest
3849582471,1682999037,PublicTest
3862811674,1645469702,PublicTest
3882784583,3307793700,PublicTest
3887899389,1753679456,PublicTest
3911822363,2776357538,PublicTest
3937992703,1914791953,PublicTest
3943899827,635799819,PublicTest
3970062925,3256009463,PublicTest
4022287072,1332759137,PublicTest
4030525076,1557343462,PublicTest
4040113414,1741634425,PublicTest
4060379526,3828664529,PublicTest
4078937413,1682999037,PublicTest
4091804141,1272700922,PublicTest
4104928393,3150441220,PublicTest
4165509784,2153037761,PublicTest
4244826201,1198319209,PublicTest
4269957924,1179651886,PublicTest
4289419892,2115491671,PublicTest
